VSAMP,SAMPN,VEHNO,YEAR,BODY,O_BODY,FUEL,O_FUEL,EZPAS,CNTV,O_CNTV,HH1,HH_WHT2
300391003,3003910,3,1997,1, ,1, ,2,2,NOT NEEDED,206.2,142.5930471
300392601,3003926,1,1997,1, ,1, ,2,1, ,292.57143,225.8531355
300394001,3003940,1,2004,2, ,1, ,1,2,NOT NEEDED,209,254.6270437
300394002,3003940,2,2008,1, ,1, ,1,1, ,209,254.6270437
300407701,3004077,1,2002,1, ,1, ,1,2,NOT NEEDED,126.66667,112.3273832
300410001,3004100,1,2007,1, ,1, ,2,1, ,183.5,115.8622823
300410002,3004100,2,2000,2, ,1, ,2,2,USED OTHER VEHICLE,183.5,115.8622823
300410801,3004108,1,9998,2, ,1, ,1,2,NOT NEEDED,643.66667,83.19559125
300410802,3004108,2,9998,2, ,1, ,1,2,NOT NEEDED,643.66667,83.19559125
300412701,3004127,1,2005,1, ,1, ,1,1, ,270,172.2527381
300414901,3004149,1,2010,1, ,1, ,1,1, ,179.5,53.43149793
300414902,3004149,2,2010,1, ,1, ,1,2,DK/RF,179.5,53.43149793
300414903,3004149,3,2000,7, ,1, ,2,2,DK/RF,179.5,53.43149793
300414904,3004149,4,2000,7, ,1, ,2,2,DK/RF,179.5,53.43149793
300420501,3004205,1,2010,1, ,1, ,1,1, ,367.5,212.7260701
300420502,3004205,2,2007,1, ,1, ,1,2,NOT NEEDED,367.5,212.7260701
300426201,3004262,1,1995,1, ,1, ,2,2,NOT NEEDED,114.125,157.1316262
300426202,3004262,2,2010,2, ,1, ,2,1, ,114.125,157.1316262
300426203,3004262,3,1975,1, ,1, ,2,2,NOT NEEDED,114.125,157.1316262
300432001,3004320,1,1994,1, ,1, ,1,1, ,92.2963,57.30022465
300432002,3004320,2,2009,1, ,1, ,1,1, ,92.2963,57.30022465
300432003,3004320,3,1994,2, ,1, ,1,1, ,92.2963,57.30022465
300432004,3004320,4,1997,4, ,1, ,1,1, ,92.2963,57.30022465
300432301,3004323,1,1999,1, ,1, ,1,1, ,265.6,228.1420494
300432302,3004323,2,1998,3, ,1, ,1,2,NOT NEEDED,265.6,228.1420494
300432303,3004323,3,2010,3, ,8, ,8,1, ,265.6,228.1420494
300440401,3004404,1,2005,1, ,1, ,1,1, ,793,846.1578605
300440402,3004404,2,1998,2, ,1, ,1,2,NOT NEEDED,793,846.1578605
300443201,3004432,1,2001,4, ,1, ,1,1, ,513.2,711.1591298
300443202,3004432,2,2007,1, ,1, ,1,1, ,513.2,711.1591298
300443203,3004432,3,2003,7, ,1, ,1,2,NOT NEEDED,513.2,711.1591298
300443204,3004432,4,2006,7, ,1, ,1,2,NOT NEEDED,513.2,711.1591298
300447501,3004475,1,2008,1, ,1, ,1,1, ,212.11111,243.7792498
300447502,3004475,2,2010,1, ,1, ,1,1, ,212.11111,243.7792498
300450801,3004508,1,2009,1, ,1, ,1,1, ,572,228.6891345
300450802,3004508,2,2002,2, ,1, ,1,1, ,572,228.6891345
300454801,3004548,1,2008,1, ,1, ,1,1, ,266.83333,506.578617
300454802,3004548,2,2009,2, ,1, ,1,1, ,266.83333,506.578617
300454803,3004548,3,1990,2, ,1, ,1,1, ,266.83333,506.578617
300456501,3004565,1,2009,1, ,1, ,1,1, ,108.75,52.16785107
300456502,3004565,2,2005,1, ,1, ,1,1, ,108.75,52.16785107
300456503,3004565,3,2000,3, ,1, ,1,2,NOT NEEDED,108.75,52.16785107
300457501,3004575,1,2003,4, ,1, ,1,1, ,266.25,50.00351377
300457502,3004575,2,2006,1, ,1, ,1,2,NEEDS REPAIR,266.25,50.00351377
300457503,3004575,3,2010,1, ,1, ,1,2,NOT NEEDED,266.25,50.00351377
300457601,3004576,1,2003,1, ,1, ,1,1, ,450.5,171.5205711
300457602,3004576,2,2011,2, ,1, ,1,2,DK/RF,450.5,171.5205711
300459601,3004596,1,2003,1, ,1, ,1,2,DID NOT TRAVEL,49.7619,175.7084818
300471701,3004717,1,2008,1, ,1, ,1,1, ,178.83333,50
300472501,3004725,1,2004,2, ,1, ,1,1, ,172.66667,92.27916944
300472502,3004725,2,2000,1, ,1, ,1,2,NOT NEEDED,172.66667,92.27916944
300473801,3004738,1,2010,2, ,1, ,1,1, ,364.33333,126.8052985
300473802,3004738,2,2009,1, ,1, ,1,2,NOT NEEDED,364.33333,126.8052985
300476901,3004769,1,2000,1, ,1, ,1,1, ,428.33333,62.24739194
300477101,3004771,1,2002,1, ,1, ,1,2,NOT NEEDED,443.8,330.4454639
300477102,3004771,2,1992,1, ,1, ,1,2,PRIMARY DRIVER SICK,443.8,330.4454639
300482901,3004829,1,2008,1, ,1, ,1,1, ,225.22222,88.04313642
300482902,3004829,2,2010,1, ,1, ,1,2,SICK,225.22222,88.04313642
300482903,3004829,3,1966,1, ,1, ,2,2,NOT NEEDED,225.22222,88.04313642
300482904,3004829,4,1966,7, ,1, ,2,2,NOT NEEDED,225.22222,88.04313642
300483401,3004834,1,2008,1, ,1, ,1,1, ,176.6,405.3580375
300483402,3004834,2,2004,1, ,1, ,1,2,NOT NEEDED,176.6,405.3580375
300487201,3004872,1,2006,1, ,1, ,1,1, ,406.2,362.8218968
300487202,3004872,2,2001,1, ,1, ,2,2,NOT NEEDED,406.2,362.8218968
300487501,3004875,1,2006,3, ,1, ,1,1, ,93.33333,72.21962561
300487502,3004875,2,2006,1, ,1, ,1,1, ,93.33333,72.21962561
300490001,3004900,1,2006,1, ,1, ,1,1, ,85.64286,78.60320465
300490002,3004900,2,2004,8, ,1, ,2,2,DK/RF,85.64286,78.60320465
300491801,3004918,1,2006,1, ,1, ,2,2,NOT NEEDED,518.5,375.8249512
300491802,3004918,2,2010,1, ,1, ,2,1, ,518.5,375.8249512
300491803,3004918,3,2000,3, ,1, ,2,2,NOT NEEDED,518.5,375.8249512
300492601,3004926,1,2003,1, ,1, ,1,1, ,138.5,108.948914
300492602,3004926,2,2000,1, ,1, ,1,1, ,138.5,108.948914
300497001,3004970,1,2006,2, ,1, ,1,1, ,81.16667,50.06968978
300497002,3004970,2,2001,1, ,1, ,2,1, ,81.16667,50.06968978
300500301,3005003,1,1988,1, ,1, ,1,1, ,587.66667,258.0579017
300500302,3005003,2,1985,3, ,1, ,1,1, ,587.66667,258.0579017
300500303,3005003,3,1991,1, ,1, ,1,2,NOT NEEDED,587.66667,258.0579017
300500304,3005003,4,2001,1, ,1, ,1,1, ,587.66667,258.0579017
300500305,3005003,5,1984,7, ,1, ,2,2,NOT NEEDED,587.66667,258.0579017
300500901,3005009,1,2001,1, ,1, ,2,1, ,320.33333,367.1937066
300503301,3005033,1,2006,1, ,1, ,2,1, ,611,403.2635874
300503302,3005033,2,2008,1, ,1, ,2,1, ,611,403.2635874
300503303,3005033,3,2003,4, ,1, ,2,2,NOT NEEDED,611,403.2635874
300503304,3005033,4,1996,2, ,1, ,2,2,NEEDS REPAIR,611,403.2635874
300503305,3005033,5,1988,1, ,1, ,2,2,NOT NEEDED,611,403.2635874
300507301,3005073,1,1985,1, ,1, ,2,2,NOT NEEDED,290.42857,50
300507302,3005073,2,2005,2, ,1, ,2,2,NOT NEEDED,290.42857,50
300507303,3005073,3,1992,6, ,1, ,2,2,NOT NEEDED,290.42857,50
300516601,3005166,1,2005,1, ,1, ,1,2,NOT NEEDED,106.59091,50.80163831
300516602,3005166,2,2000,1, ,1, ,1,2,NOT NEEDED,106.59091,50.80163831
300516603,3005166,3,2008,2, ,1, ,1,1, ,106.59091,50.80163831
300520101,3005201,1,2002,1, ,1, ,1,1, ,95.57143,79.18424698
300520102,3005201,2,2002,1, ,1, ,1,2,NOT NEEDED,95.57143,79.18424698
300526501,3005265,1,2001,3, ,1, ,2,1, ,203,1692.049874
300526502,3005265,2,2003,4, ,1, ,2,1, ,203,1692.049874
300526503,3005265,3,2003,3, ,1, ,2,1, ,203,1692.049874
300526504,3005265,4,2007,1, ,1, ,2,2,NOT NEEDED,203,1692.049874
300528101,3005281,1,2003,2, ,1, ,1,1, ,669.5,993.6884932
300528102,3005281,2,2009,2, ,1, ,1,1, ,669.5,993.6884932
300532001,3005320,1,2008,1, ,1, ,2,1, ,240.6,207.3580928
300533201,3005332,1,2010,4, ,4, ,1,1, ,745.5,537.2069324
300533202,3005332,2,2008,1, ,1, ,1,1, ,745.5,537.2069324
300535001,3005350,1,1990,1, ,1, ,1,2,DK/RF,105.55556,50.02408889
300538701,3005387,1,2002,1, ,1, ,1,1, ,321.83333,206.1947804
300538702,3005387,2,2007,1, ,1, ,2,1, ,321.83333,206.1947804
300547001,3005470,1,2009,1, ,1, ,1,1, ,258,118.2436441
300549801,3005498,1,2010,1, ,1, ,1,1, ,454.7,828.3160506
300553101,3005531,1,2010,2, ,1, ,1,1, ,133.81818,58.81002036
300553102,3005531,2,2002,1, ,1, ,1,1, ,133.81818,58.81002036
300553103,3005531,3,2008,1, ,1, ,1,1, ,133.81818,58.81002036
300559301,3005593,1,2005,3, ,1, ,1,1, ,279.125,74.21831505
300559302,3005593,2,2010,2, ,1, ,1,1, ,279.125,74.21831505
